object_name,path,object_size,object_type,parent_directory
.git,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection,179303,directory,Рабочий стол
homework_1,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection,3540,directory,Рабочий стол
homework_2,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection,7270,directory,Рабочий стол
homework_3,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection,10645,directory,Рабочий стол
homework_4,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection,4727,directory,Рабочий стол
homework_5,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection,1917,directory,Рабочий стол
homework_6,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection,16724,directory,Рабочий стол
homework_7,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection,23168,directory,Рабочий стол
homework_8,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection,25052,directory,Рабочий стол
new,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection,25491,directory,Рабочий стол
package_sem_6,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection,12483,directory,Рабочий стол
rezult,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection,71124,directory,Рабочий стол
data.csv,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection,198,file,DeepPythonLection
data.json,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection,142,file,DeepPythonLection
data.txt,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection,121,file,DeepPythonLection
data1.json,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection,240,file,DeepPythonLection
data2.json,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection,418,file,DeepPythonLection
lection_2.py,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection,91,file,DeepPythonLection
result.csv,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection,0,file,DeepPythonLection
result.json,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection,0,file,DeepPythonLection
result.pickle,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection,0,file,DeepPythonLection
sem8_output.json,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection,989,file,DeepPythonLection
sem8_output.pickle,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection,541,file,DeepPythonLection
seminar_1.py,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection,3123,file,DeepPythonLection
seminar_2.py,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection,6955,file,DeepPythonLection
seminar_3.py,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection,6510,file,DeepPythonLection
seminar_4.py,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection,8263,file,DeepPythonLection
seminar_5.py,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection,6704,file,DeepPythonLection
seminar_6.py,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection,6172,file,DeepPythonLection
seminar_7.py,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection,12159,file,DeepPythonLection
seminar_8.py,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection,5735,file,DeepPythonLection
task5_users.json,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection,240,file,DeepPythonLection
task5_users.pickle,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection,118,file,DeepPythonLection
task_1.txt,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection,325,file,DeepPythonLection
task_2.txt,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection,130,file,DeepPythonLection
task_3.txt,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection,474,file,DeepPythonLection
users.csv,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection,34,file,DeepPythonLection
users.json,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection,128,file,DeepPythonLection
users.pickle,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection,77,file,DeepPythonLection
hooks,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git,23513,directory,DeepPythonLection
info,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git,240,directory,DeepPythonLection
