Path object_type object_name object_size parent_directory
"C:\Users\homei\OneDrive\Рабочий стол" Directory DeepPythonLection 2482148 "Рабочий стол"
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\" File users.pickle 77 
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git" Directory refs 246 .git
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\hooks" File update.sample 3650 hooks
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\info" File exclude 240 info
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\logs" Directory refs 9966 logs
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\logs\refs" Directory remotes 2502 refs
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\logs\refs\heads" File main 2481 heads
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\logs\refs\remotes" Directory origin 1251 remotes
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\logs\refs\remotes\origin" File main 1251 origin
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects" Directory pack 0 objects
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\01" File 886f0356879b022083c31b777a64eca37e71ef 108 01
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\04" File b4603b6db11d0e8836126e23a143d24d9dc643 199 04
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\07" File 14c152f732ec2846a5c2a208173174cb8004fc 3397 07
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\08" File cc32539543b8fd4e96ee146ee8bb1e76b2cceb 225 08
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\09" File 166e8185afd27b2c2ffef7a0a0e58c14b609b6 462 09
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\0a" File 8ce3afcba56039cc12b0a73d427dc00594c4f2 744 0a
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\0d" File f5dcd05775c21f1723968384a7ff3e61372936 830 0d
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\0f" File 67b9b006e80e9144022ab64913359b0c167d82 308 0f
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\10" File fa6bf21985c36360acf7d77d398ee496642076 3412 10
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\13" File bc388fa04b68ef8f1a5fc1189a0e09c6ca68a1 80 13
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\16" File 24bff327002382264a55489c2055bdcceb6035 291 16
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\18" File e3f633813e9ec70ea7ea717c51aa3a5938d656 158 18
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\1a" File 0aeb179375eba2d64757171975ed770661bc3a 253 1a
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\1b" File ea5d1ae9fcc2b9eaac23e816e68ac8c6166ce3 871 1b
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\1d" File a8e120f49e86f4b30ef25854a59e67af9b195a 215 1d
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\1e" File fd42b92d46fed546535497b46abc7f160e06aa 208 1e
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\24" File a01381a3baab3e38828be72fe7c919056e3816 3229 24
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\25" File 751f48ce94fee0c9c6da84155a4160783160a6 52 25
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\29" File d8d85da74574639a40a3ca4806e736a97cb189 822 29
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\2b" File ea30e8732540df6cb47a98012b66ae9705a88e 3876 2b
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\2d" File 7686809013f68aef6e61fcc1562a6077b98792 107 2d
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\2e" File f93d2bdebb25b0755a8614211d1f85f6b84848 3944 2e
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\30" File b8de37a2acdc267b8636a8f51876094880c66e 156 30
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\34" File c21276295cc13e403fc845441cec18969c64cf 107 34
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\35" File 248355bf8bcc49c7104392317629f9bfabd95b 1538 35
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\37" File a68eadf441b06aa61d20d54498ac4bd93a64d7 145 37
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\3a" File 3bd3c9500497c61de2c020d4c258bad66e5706 97 3a
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\46" File a2104ac5c22693bd43217b857d13c0b1c69cf1 87 46
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\47" File 74f69b06648c7bfab2d5b173afeea6e9117654 3125 47
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\4a" File 391994da9cde4eae0a9a200ba4b9343885311a 800 4a
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\4c" File 31db7fe2c56168e3290224267c4b0451ee4e68 195 4c
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\50" File 770277889501f227698e166b09b8de5d4cb556 107 50
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\52" File ab54e03f67bf1c0e89df8e5e5a75c8c5cb92a3 153 52
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\54" File 04324659aa14489be821962adf7c62a3914566 80 54
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\56" File 2bac52cbede79f285f16fb3f4021c6cbe54aa2 3021 56
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\5b" File 9c2b0c4154ccc8c71673639986bea23a669a3a 91 5b
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\5e" File f11704ad7af2bb84621f1521865e0cb2896c44 1334 5e
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\64" File cdbd88d91a540703ea82eb57e652b2c06debeb 537 64
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\67" File 79bf97bcd426d840c6693827685508cb61556c 120 67
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\6b" File 3da79c67948150a4888d5e1ea5f4b60751569c 638 6b
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\6e" File 28ac8eac8fba527b8fef1359cdd9a8364d25b7 1643 6e
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\70" File a5a42d682fab5f070f8c386402a86936ab39df 545 70
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\72" File 550ca971565be4961846ac3af61ca86cc795a2 654 72
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\73" File efc7573625e932220faca9763dc8cd9c266829 4001 73
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\74" File 9ca9affaaf3ff6eefa5cbb536855735b640be9 1092 74
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\76" File e79b81aaf1752c69517b3e81d871b2c9d3484b 2355 76
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\77" File 3cdf8bef64f92bed88940f12a6c97268009a77 322 77
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\79" File 6396fb77679c5ea544d467aabb7d218ce95917 173 79
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\7a" File 138e1e8ca61cc51bd4fcf16046efd9ab03106e 427 7a
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\7c" File 8c3b043b0b9476f401a38aca497118630e4247 80 7c
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\7e" File b932b6ac2033de0350534e02a09d89c3242b2a 257 7e
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\7f" File 7e9b64d84947d26a41cd8dd18f74679cbe77b4 2658 7f
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\82" File 5b2af9149ffec40578a272cf52669a9f127459 372 82
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\83" File a0437015b4a0195b9c425443f59639a27b8681 52 83
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\84" File fa241dfb408aaac1e35dc8e40a2bbd31ac66a3 3443 84
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\87" File 8fea62ab68a0fe52ea0b40edbf4d258162a0ca 436 87
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\88" File ff2c09161b65fb0fe82cadbb65df10fc4dc471 110 88
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\89" File a3de9b78c043494da21797e68e6ecb7b26106a 282 89
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\8a" File eadef861c5b0675d0e5cba4813840f18b90e62 193 8a
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\8c" File 3c8955c45d721b3f0a312b9d3e803bfa0e4d40 3613 8c
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\8e" File 6ab48d4b8e4b330cc44b627ba74e704a9945c6 161 8e
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\8f" File f57b044df642712058e43081a4f255931a0f78 2058 8f
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\90" File 1affb865e28a0813a4d0118cb0d7bad7402087 711 90
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\92" File d6128dd6af4abec20d185487b50581b86b1294 445 92
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\93" File 335b57677a091c5f8d6719827c7c684c0507a7 196 93
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\97" File f3e043cb1114b5be0da364377ca45963592f8b 103 97
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\99" File f71a342228bd4b952ba7509714df8d5d0f5380 157 99
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\9d" File cc2cccc7632d5d26c53acf1f8d5db9aa73caa9 831 9d
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\9f" File 9f95bef20c2f8f21bb590c19bf7b18d66feb3d 776 9f
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\a1" File 934b9868e8959e624d2237db68f7cfc558c29b 160 a1
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\a2" File 1ef6a9b3b51676efeea45fd8cee487568aa80f 1148 a2
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\a5" File e962ef98eb97c312c172727462220f85bdcfc6 602 a5
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\a7" File 8e6c299af01dbac8e4ba2a9aa609b00f1a0e48 80 a7
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\a8" File f51328412f122c9677e7eabc9244997a4fd5ea 351 a8
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\af" File 26f3a5ecb491edba72a075c455849b75db9485 1001 af
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\b0" File 8ee676baaf72d493d9d638ab394766bcf5ea0b 2027 b0
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\b4" File e947059a8ba9db8e135d9e68662dd88de29b3e 157 b4
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\b5" File e2ddb32c8fd3bfb110079fe092568e511a7e56 639 b5
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\b7" File 2d5fcf370affdbadb00d8e2df1f884b0e6a7fc 1661 b7
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\b8" File 5bb1d15920cb7c74b1939020a6173b733f7840 52 b8
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\ba" File c2ccc929b67fb095e9e92b1bb3dca993a193c6 544 ba
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\c0" File e853646ecb839b696a90cf4d06e97117048b00 1305 c0
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\c1" File 63eb6c822fe00121106a6e3677e8dcf0a973f7 108 c1
"C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\c3" File ae3e9b952b7d8c2da7aa762cb1a72de1d9ae1f 1700 c3
